actual distance(m), calculated delay(ns), calculated distance(m)
1.1,31.80000,1.10000
1.09,31.900000,1.12998
1.08,32.000000,1.15996
1.07,31.700000,1.07002
1.06,32.100000,1.18994
1.05,32.200000,1.21992
1.04,32.000000,1.15996
1.03,31.600000,1.04004
1.02,31.000000,0.86017
1.01,31.700000,1.07002
1.00,31.000000,0.86017
0.99,31.200000,0.92012
0.98,31.900000,1.12998
0.97,31.400000,0.98008
0.96,30.900000,0.83019
0.95,31.300000,0.95010
0.94,31.400000,0.98008
0.93,31.300000,0.95010
0.92,31.100000,0.89015
0.91,31.300000,0.95010
0.90,31.300000,0.95010
0.89,30.900000,0.83019
0.88,31.400000,0.98008
0.87,31.000000,0.86017
0.86,31.300000,0.95010
0.85,31.400000,0.98008
0.84,31.500000,1.01006
0.83,30.300000,0.65031
0.82,30.800000,0.80021
0.81,30.800000,0.80021
0.80,31.100000,0.89015
0.79,30.600000,0.74025
0.78,31.000000,0.86017
0.77,30.800000,0.80021
0.76,30.900000,0.83019
0.75,30.500000,0.71027
0.74,30.700000,0.77023
0.73,30.700000,0.77023
0.72,30.500000,0.71027
0.71,30.700000,0.77023
0.70,30.800000,0.80021
0.69,30.800000,0.80021
0.68,30.500000,0.71027
0.67,30.700000,0.77023
0.66,30.100000,0.59035
0.65,30.700000,0.77023
0.64,30.000000,0.56037
0.63,30.300000,0.65031
0.62,30.300000,0.65031
0.61,
